,Males
648,Gondulphus_Graves
649,Local_Sitemap
650,Glen
651,Charles_Dana_Gibson
652,Hesphaestus_Gore
653,Godric_Gryffindor
654,Gareth_Greengrass
655,Gregory_the_Smarmy
656,Goblet_of_Fire_casket_carriers
657,Mykew_Gregorovitch
658,Golgomath
659,George_III
660,Gulray
661,Griphook
662,Gimkey
663,Gibbon
664,Grawp
665,Guillory
666,Gregory_Goyle
667,Ulick_Gamp
668,Grogory
669,Galileo_Galilei
670,Gossamer
671,Morfin_Gaunt
672,Godfrey
673,Anthony_Goldstein
674,Melvin_Godfrey
675,Gornuk
676,Franklin_Greenwood
677,Elias_Grimstone
678,Joseph_Heller
679,Henry
680,Martin_Helstrom
681,Jarleth_Hobart
682,Headmaster_of_Mahoutokoro_during_1990
683,Henerick
684,Ryan_Henry
685,Ralph_Heidelberger
686,Headmaster_of_Castelobruxo_during_1989
687,Jim_Hamilton
688,Niles_Hanley
689,Amos_Hopkins
690,Oakden_Hernshaw
691,Louis_Hubbard
692,Chris_Huhne
693,Unidentified_resting_Headmaster
694,Stephen_Hawking
695,Maynard_Hatton
696,Hugo_Pepper
697,Hengist_of_Upper_Barnton
698,Marcus_Hitchin
699,Stephan_Hodhedge
700,Robert_Hawking
701,Phillipus_von_Hohenheim
702,Ernest_Hawkworth
703,Henry_VI
704,John_Haas
705,Bob_Hitchens
706,Edwin_Halsted
707,Warty_Harris
708,John_Homme
709,Roger_Handlebaum
710,Handsome_Poltergeist
711,Howard
712,Geoffrey_Hooper
713,Kenneth_Hastings
714,Hooky
715,Ciceron_Harkiss
716,Unidentified_Hufflepuff_boy_who_carried_a_body_during_the_Battle_of_Hogwarts
717,Horace
718,Raashid_Hussain
719,Dirgah_Hagrid
720,Don_Harrison
721,Higglebottom
722,Avery_Hawksworth
723,Hilliard_Hobday
724,Curt_Hanger
725,Robert_Hilliard
726,Harold
727,Henry_VIII
728,Oakden_Hobday
729,Carl_Hopkins
730,Terrance_Hautsol
731,Gordon_Horton
732,Hereward
733,Robin_Higgy
734,Portrait_of_the_Healers
735,Hogwarts_student_that_bet_on_Fleur_Delacour
736,Helmut
737,Christopher_Hemsley
738,Terence_Higgs
739,David_Hamblin
740,Hankerton_Humble
741,Herschel_Haesito
742,Hufflepuff_Wizard_Duelling_Champion
743,Local_Sitemap
744,Johan_Hoffman
745,Hans
746,Hieronymus
747,Horst
748,Sanford_Humberston
749,Rubeus_Hagrid
750,Wu_Han_Po
751,Bertie_Higgs
752,Howard_Haywood
753,Hogsmeade_street_sweeper
754,Hogwarts_Express_conductor
755,Reginald_Heartachus
756,Hogwarts_school_mice
757,Wayne_Hopkins
758,Chester_Hidland
759,Egmont_Hobday
760,Basil_Horton
761,Noel_Harwich
762,Peter_Hansen
763,First_Headmaster_of_Hogwarts
764,Emanuel_Hurwitz
765,Declan_Haworth
766,Glover_Hipworth
767,Thornton_Harkaway
768,Jason_Huntingdon
769,Herpo_the_Foul
770,Clairvius_Hyppolite
771,Hogwarts_student_that_blamed_Harry_Potter
772,Stuart_Hogg
773,Henry_VII
774,Heady
775,Masaki_Hongo
776,Harper
777,Timothy_Hale
778,Hermes
779,Kevin_Hopwood
780,Stefan_Hoghedge
781,Hall
782,Brendon_Halkirk
783,Shimmy_Hardoteer
784,Zaccaria_Innocenti
785,Royston_Idlewind
786,Illyius
787,Ingolfr_the_Iambic
788,Duncan_Inglebee
789,Tamotsu_Iwamoto
790,Satoru_Iida
791,Isaiah
792,Malcolm_Ilminster
793,Shoma_Ichikawa
794,Inigo_Imago
795,Isaac
796,Local_Sitemap
797,Imp_at_the_Magical_Creatures_Reserve
798,John_Joseph_Merlin
799,Arsenius_Jigger
800,Albert_Jorkins
801,Johannes_Jonker
802,Lee_Jordan
803,Jesus
804,Judges_of_the_1379_duelling_contest
805,Stamford_Jorkins
806,Jay
807,Hector_Jenkins
808,Joey_Jenkins
809,Jim
810,John_Terry
811,Karl_Jenkins
812,Jasichus
813,Matthew_Jenkins
814,Timothy_Justin
815,Samuel_Journeux
816,Local_Sitemap
817,Stuart_Jones
818,Josiah_Jackson
819,Peter_James
820,Jerome
821,John_Talisker
822,John
823,Jack_Jodieman
824,Peter_Jones
825,Grimwold_Jorkins
826,Ernesto_Jags
827,Jack
828,Leonard_Jewkes
829,Herman_Junker
830,Bastien_Janvier
831,Granville_Jorkins
